epoch,phase,loss,time_seconds,avg_accuracy,glioma_accuracy,meningioma_accuracy,no_tumor_accuracy,pituitary_accuracy,avg_precision,glioma_precision,meningioma_precision,no_tumor_precision,pituitary_precision,avg_recall,glioma_recall,meningioma_recall,no_tumor_recall,pituitary_recall,avg_f1,glioma_f1,meningioma_f1,no_tumor_f1,pituitary_f1,avg_auc,glioma_auc,meningioma_auc,no_tumor_auc,pituitary_auc
1,train,0.8289047022660573,6.909261226654053,0.9032291666666666,0.9158333333333334,0.849375,0.9370833333333334,0.910625,0.8080242141270606,0.8655804480651731,0.7715877437325905,0.788010425716768,0.8069182389937107,0.8114901228341651,0.7575757575757576,0.6353211009174312,0.9398963730569948,0.9131672597864768,0.804719822091377,0.8079847908745247,0.6968553459119496,0.8572778827977315,0.8567612687813022,0.9464139040713005,0.9476956979835781,0.8960739444637108,0.9786401496983739,0.9632458241395394
2,train,0.2580054106314977,3.503960132598877,0.9676041666666667,0.9675,0.938125,0.9879166666666667,0.976875,0.937197745106054,0.9463459759481961,0.8839150227617603,0.9641760491299898,0.9543539325842697,0.9364990013685084,0.9125780553077609,0.8899923605805958,0.9761658031088083,0.9672597864768683,0.9367489994837312,0.9291553133514986,0.8869432813094785,0.9701338825952626,0.9607635206786851,0.990620548443824,0.9926753551451338,0.978264309030818,0.9980874276334011,0.9934551019659432
3,train,0.13840978528062503,3.4757606983184814,0.9814583333333333,0.9791666666666666,0.9664583333333333,0.9939583333333334,0.98625,0.9644099074963189,0.961121157323689,0.9334845049130763,0.9885297184567258,0.9745042492917847,0.9633315195826677,0.9491071428571428,0.9441896024464832,0.9813664596273292,0.9786628733997155,0.9638492766704244,0.9550763701707098,0.9388065374382364,0.9849350649350649,0.9765791341376863,0.9962089265195225,0.9956051048136646,0.9927359083759822,0.9991910669599994,0.9973036259284438
4,train,0.0809810704489549,3.458892345428467,0.9907291666666665,0.9891666666666666,0.9827083333333333,0.9977083333333333,0.9933333333333333,0.9821146920072252,0.9767857142857143,0.9644208932626798,0.9958419958419958,0.9914101646385111,0.9819540091999943,0.9767857142857143,0.9725190839694656,0.9927461139896373,0.9857651245551602,0.9820275012532362,0.9767857142857143,0.9684530596731281,0.99429164504411,0.9885795860099929,0.998670006688674,0.9987791149068324,0.9973923314158227,0.9998643527369268,0.9986442276951137
5,train,0.05634996725867192,3.5450518131256104,0.9924999999999999,0.9922916666666667,0.9872916666666667,0.9989583333333333,0.9914583333333333,0.9858052533045967,0.9856502242152466,0.9755911517925248,0.9968944099378882,0.9850852272727273,0.9856978915592384,0.98125,0.97782874617737,0.9979274611398964,0.9857853589196873,0.9857499235933648,0.9834451901565996,0.9767086674303169,0.9974106680476437,0.9854351687388988,0.9991275377934923,0.999386645962733,0.9980856199053495,0.9999673041457532,0.9990705811601334
6,train,0.0428636182534198,3.473701238632202,0.994375,0.99375,0.99,0.9985416666666667,0.9952083333333334,0.98933921584104,0.989247311827957,0.9787234042553191,0.997920997920998,0.9914651493598862,0.988914042682185,0.983957219251337,0.9847094801223242,0.9948186528497409,0.9921708185053381,0.9891219400579743,0.9865951742627346,0.9817073170731707,0.9963674104826155,0.991817858413376,0.999222813389389,0.9990537269829085,0.9985101376321938,0.9999473083340652,0.9993800806083889
7,train,0.030938682549943527,3.468972682952881,0.9970833333333333,0.996875,0.9954166666666666,0.9989583333333333,0.9970833333333333,0.9942488641965792,0.9928635147190009,0.9900914634146342,0.9968976215098242,0.9971428571428571,0.9944216242867191,0.99375,0.9931192660550459,0.9979296066252588,0.9928876244665719,0.9943334128777933,0.9933065595716198,0.9916030534351145,0.9974133471288154,0.9950106913756237,0.9997847751500156,0.9996947787267081,0.9995678194983029,0.9999819097083845,0.9998945926666672
8,train,0.01957825602342685,3.4649219512939453,0.9973958333333333,0.996875,0.996875,0.998125,0.9977083333333333,0.994770748679281,0.9946332737030411,0.9938931297709923,0.994824016563147,0.9957325746799431,0.9947300159736427,0.991971454058876,0.9946524064171123,0.9958549222797928,0.99644128113879,0.9947498020226458,0.9933005806163466,0.9942726231386025,0.9953392024857587,0.9960868018498755,0.9995590207805409,0.9990039181321574,0.9994986562631094,0.9999867595300984,0.9997467491967987
9,train,0.034695425843819974,3.611459493637085,0.9958333333333332,0.99375,0.995625,0.9983333333333333,0.995625,0.9918185657233259,0.9901079136690647,0.9908536585365854,0.9948293691830403,0.9914833215046132,0.9916625726379401,0.9830357142857142,0.9931245225362872,0.9968911917098445,0.9935988620199147,0.9917365271077454,0.9865591397849462,0.9919877909194964,0.9958592132505176,0.9925399644760213,0.9997584461886163,0.999497039984472,0.9998641054296774,0.9999475785477366,0.9997250607925793
10,train,0.020885852460439006,3.6951992511749268,0.9966666666666667,0.9952083333333334,0.9941666666666666,0.999375,0.9979166666666667,0.9935439748147148,0.9901697944593387,0.9893048128342246,0.9989626556016598,0.9957386363636364,0.993418259511616,0.9892857142857143,0.9893048128342246,0.9979274611398964,0.9971550497866287,0.9934808748889669,0.9897275569450648,0.9893048128342246,0.9984447900466563,0.9964463397299218,0.9997259775666621,0.9997889169254658,0.9997564401662333,0.9995584708608332,0.9998000823141164
