epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5937,0.96642,2.55375,1.21582,0.53497,0.65826,0.62082,0.51749,0.64245,1.04868,1.1193,0.000299876,0.000299876,0.000299876
2,28.5195,0.66733,0.75076,1.10519,0.75763,0.81928,0.84266,0.7255,0.48735,0.57543,0.99643,0.000582981,0.000582981,0.000582981
3,35.034,0.58943,0.58498,1.03511,0.86025,0.83785,0.90337,0.79,0.46056,0.45559,0.96854,0.000846088,0.000846088,0.000846088
4,41.5586,0.56507,0.52849,1.00607,0.86839,0.84868,0.90722,0.79842,0.4788,0.42846,0.95302,0.000819009,0.000819009,0.000819009
5,47.9229,0.54544,0.48923,0.99091,0.88434,0.86358,0.92424,0.80394,0.44969,0.41584,0.93592,0.000789012,0.000789012,0.000789012
6,54.2488,0.54307,0.46948,0.98629,0.9145,0.90178,0.94571,0.83707,0.44807,0.38111,0.94217,0.000759015,0.000759015,0.000759015
7,60.5134,0.52512,0.44332,0.97058,0.928,0.88413,0.94512,0.83214,0.46346,0.37256,0.93451,0.000729018,0.000729018,0.000729018
8,66.7402,0.5229,0.43042,0.97314,0.92828,0.91482,0.95445,0.84708,0.41051,0.35018,0.91726,0.000699021,0.000699021,0.000699021
9,72.748,0.51536,0.4132,0.96317,0.92457,0.8819,0.95146,0.84393,0.41939,0.35309,0.93149,0.000669024,0.000669024,0.000669024
10,78.7407,0.50319,0.4011,0.9562,0.92121,0.90908,0.95044,0.84872,0.40196,0.3342,0.90924,0.000639027,0.000639027,0.000639027
11,84.7196,0.50318,0.39614,0.95592,0.93819,0.9006,0.95747,0.84518,0.41053,0.33717,0.91069,0.00060903,0.00060903,0.00060903
12,90.6471,0.489,0.38609,0.94883,0.90621,0.8997,0.9531,0.85921,0.404,0.32805,0.90753,0.000579033,0.000579033,0.000579033
13,96.5782,0.48741,0.37845,0.94995,0.91662,0.90097,0.95289,0.86373,0.40047,0.31883,0.91874,0.000549036,0.000549036,0.000549036
14,102.625,0.49354,0.3801,0.94653,0.94917,0.9113,0.96191,0.86546,0.39887,0.3217,0.8926,0.000519039,0.000519039,0.000519039
15,108.612,0.48041,0.36532,0.94529,0.93068,0.90694,0.95898,0.87077,0.38902,0.30966,0.91788,0.000489042,0.000489042,0.000489042
16,114.668,0.48353,0.36382,0.94478,0.93957,0.92392,0.96291,0.87102,0.38505,0.30036,0.89325,0.000459045,0.000459045,0.000459045
17,120.725,0.47619,0.35431,0.9398,0.94194,0.91631,0.96409,0.87528,0.39035,0.30118,0.8938,0.000429048,0.000429048,0.000429048
18,126.778,0.47006,0.34966,0.93734,0.91892,0.89418,0.96046,0.87275,0.38746,0.30521,0.90775,0.000399051,0.000399051,0.000399051
19,132.797,0.46961,0.3483,0.93641,0.91609,0.9313,0.96471,0.8755,0.37389,0.29409,0.90031,0.000369054,0.000369054,0.000369054
20,138.811,0.46463,0.34061,0.93508,0.95169,0.91668,0.96368,0.87873,0.37574,0.2854,0.89168,0.000339057,0.000339057,0.000339057
21,146.041,0.43068,0.31399,0.92258,0.94701,0.92015,0.9644,0.88521,0.37447,0.28533,0.89547,0.00030906,0.00030906,0.00030906
22,152.49,0.4195,0.30291,0.91941,0.9442,0.92076,0.96333,0.88397,0.36109,0.2806,0.87507,0.000279063,0.000279063,0.000279063
23,158.882,0.41772,0.29951,0.91932,0.94528,0.93186,0.9634,0.88194,0.37325,0.2772,0.8896,0.000249066,0.000249066,0.000249066
24,165.326,0.40706,0.29232,0.91299,0.95215,0.9234,0.96779,0.89111,0.36067,0.2697,0.90059,0.000219069,0.000219069,0.000219069
25,171.769,0.40552,0.2868,0.91047,0.95115,0.9274,0.96725,0.89169,0.35843,0.26479,0.87934,0.000189072,0.000189072,0.000189072
26,178.228,0.40158,0.28244,0.91223,0.95036,0.93004,0.96657,0.88605,0.36479,0.26485,0.88826,0.000159075,0.000159075,0.000159075
27,184.641,0.39512,0.27585,0.90406,0.94672,0.9253,0.9685,0.89651,0.35414,0.26196,0.8905,0.000129078,0.000129078,0.000129078
28,191.09,0.3947,0.27507,0.90697,0.95869,0.91821,0.96893,0.89601,0.3562,0.25704,0.8854,9.9081e-05,9.9081e-05,9.9081e-05
29,197.509,0.39113,0.26962,0.90726,0.95178,0.92031,0.96764,0.89729,0.34832,0.25353,0.88378,6.9084e-05,6.9084e-05,6.9084e-05
30,203.931,0.38948,0.26895,0.90121,0.94708,0.93829,0.96868,0.8983,0.34741,0.25047,0.87774,3.9087e-05,3.9087e-05,3.9087e-05
