epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6249,0.90677,2.48893,1.18642,0.62429,0.60959,0.65799,0.55871,0.69192,1.0699,1.10385,0.000299876,0.000299876,0.000299876
2,32.3198,0.62475,0.70534,1.08239,0.76463,0.82712,0.86692,0.71021,0.53467,0.5221,0.99818,0.000582981,0.000582981,0.000582981
3,40.6676,0.55622,0.5535,1.02005,0.7714,0.83644,0.90522,0.76778,0.55369,0.48536,0.9863,0.000846088,0.000846088,0.000846088
4,49.1493,0.54138,0.49974,0.99705,0.7955,0.75995,0.88974,0.77647,0.41829,0.40884,0.92431,0.000819009,0.000819009,0.000819009
5,57.5961,0.51395,0.45791,0.98092,0.82772,0.84935,0.90937,0.80355,0.41608,0.40054,0.90796,0.000789012,0.000789012,0.000789012
6,66.1901,0.51239,0.43772,0.97853,0.88074,0.88968,0.93825,0.82351,0.43643,0.41029,0.94475,0.000759015,0.000759015,0.000759015
7,74.5485,0.50056,0.41641,0.96637,0.90625,0.89402,0.95702,0.84966,0.44279,0.35678,0.94153,0.000729018,0.000729018,0.000729018
8,82.9453,0.49127,0.40042,0.96671,0.9294,0.89803,0.95433,0.85175,0.40659,0.33882,0.91821,0.000699021,0.000699021,0.000699021
9,91.121,0.48023,0.38445,0.95786,0.94118,0.9154,0.95785,0.85829,0.39105,0.33908,0.93081,0.000669024,0.000669024,0.000669024
10,99.4712,0.47339,0.37348,0.9516,0.92638,0.8961,0.96041,0.86976,0.37843,0.33025,0.9349,0.000639027,0.000639027,0.000639027
11,107.837,0.47713,0.36679,0.95265,0.95144,0.91573,0.9654,0.87127,0.3859,0.31582,0.93176,0.00060903,0.00060903,0.00060903
12,115.933,0.45397,0.351,0.94483,0.92036,0.9196,0.9561,0.86403,0.36864,0.29989,0.92013,0.000579033,0.000579033,0.000579033
13,123.874,0.45234,0.34969,0.94501,0.93764,0.91111,0.96688,0.8803,0.36869,0.30406,0.93091,0.000549036,0.000549036,0.000549036
14,131.804,0.45941,0.3486,0.94455,0.93907,0.91706,0.96547,0.87863,0.37605,0.2937,0.93046,0.000519039,0.000519039,0.000519039
15,139.786,0.44959,0.33691,0.94332,0.91839,0.91676,0.96424,0.87264,0.35442,0.28438,0.92365,0.000489042,0.000489042,0.000489042
16,147.782,0.452,0.33381,0.94354,0.94104,0.93179,0.96853,0.88819,0.35662,0.27716,0.91412,0.000459045,0.000459045,0.000459045
17,155.729,0.44016,0.32396,0.9356,0.91291,0.9107,0.96154,0.87431,0.36404,0.27789,0.92693,0.000429048,0.000429048,0.000429048
18,163.791,0.43715,0.31792,0.93502,0.94044,0.92386,0.96444,0.8882,0.3538,0.27182,0.9218,0.000399051,0.000399051,0.000399051
19,172.038,0.43337,0.31571,0.93291,0.9499,0.9262,0.96519,0.88593,0.3515,0.26821,0.92126,0.000369054,0.000369054,0.000369054
20,180.073,0.43295,0.31017,0.93356,0.94415,0.92671,0.96606,0.89161,0.359,0.26462,0.9138,0.000339057,0.000339057,0.000339057
21,188.612,0.40163,0.29169,0.92245,0.94494,0.9279,0.96908,0.88361,0.38731,0.26703,0.94149,0.00030906,0.00030906,0.00030906
22,196.47,0.39176,0.28009,0.91895,0.96293,0.92481,0.97112,0.89934,0.33801,0.2531,0.91511,0.000279063,0.000279063,0.000279063
23,204.234,0.39087,0.2741,0.91835,0.94709,0.92447,0.9689,0.89708,0.3354,0.24983,0.90053,0.000249066,0.000249066,0.000249066
24,212.035,0.38103,0.26982,0.91141,0.94401,0.928,0.96884,0.89585,0.33609,0.24786,0.90535,0.000219069,0.000219069,0.000219069
25,219.891,0.37743,0.26059,0.9107,0.94921,0.91618,0.96824,0.90117,0.32751,0.2443,0.90169,0.000189072,0.000189072,0.000189072
26,227.861,0.37437,0.2593,0.90869,0.95916,0.92396,0.96839,0.90136,0.33075,0.23796,0.90719,0.000159075,0.000159075,0.000159075
27,235.949,0.36428,0.24966,0.90038,0.96351,0.9244,0.96797,0.90139,0.32993,0.23763,0.90115,0.000129078,0.000129078,0.000129078
28,244.061,0.36232,0.24823,0.90375,0.946,0.93414,0.96958,0.90572,0.32837,0.23053,0.90987,9.9081e-05,9.9081e-05,9.9081e-05
29,252.298,0.36069,0.24318,0.90384,0.96525,0.92486,0.96936,0.90698,0.3122,0.22554,0.89703,6.9084e-05,6.9084e-05,6.9084e-05
30,260.349,0.3575,0.24227,0.89773,0.9573,0.93227,0.96971,0.90865,0.31508,0.22472,0.89896,3.9087e-05,3.9087e-05,3.9087e-05
