epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0152,2.65925,4.79177,2.26421,0.00172,0.3724,0.0035,0.00085,2.51523,4.81814,3.1496,0.000654545,0.000654545,0.000654545
2,20.8732,2.43391,3.65724,2.06182,0.14586,0.1276,0.07033,0.02185,2.59146,7.50539,3.03293,0.00127761,0.00127761,0.00127761
3,24.4133,2.29049,3.20421,1.97976,0.15672,0.15885,0.07052,0.02088,2.53078,6.10358,3.0497,0.00185668,0.00185668,0.00185668
4,27.8522,2.3136,2.91771,2.00786,0.24877,0.22336,0.17214,0.06117,2.33989,3.55028,2.4856,0.001802,0.001802,0.001802
5,31.3492,2.19386,2.82731,1.96289,0.32979,0.24219,0.20001,0.08016,2.29475,3.8523,2.2455,0.001736,0.001736,0.001736
6,34.7894,2.09735,2.5296,1.88135,0.32482,0.26562,0.21639,0.08432,2.01728,3.7108,2.00023,0.00167,0.00167,0.00167
7,38.4055,2.07108,2.4455,1.88643,0.39451,0.33854,0.27374,0.1246,1.9616,2.41321,1.97078,0.001604,0.001604,0.001604
8,42.0267,1.92586,2.33554,1.77144,0.43999,0.37238,0.3413,0.15594,1.95964,2.22259,1.9108,0.001538,0.001538,0.001538
9,46.0532,1.9055,2.1888,1.73252,0.45984,0.41678,0.35639,0.16539,1.89374,2.50133,1.84305,0.001472,0.001472,0.001472
10,49.9284,1.84541,2.09027,1.7008,0.57337,0.41927,0.46042,0.19748,1.93111,2.0924,1.90501,0.001406,0.001406,0.001406
11,53.7132,1.75705,1.96702,1.64173,0.67762,0.46354,0.52806,0.28157,1.727,1.82586,1.75302,0.00134,0.00134,0.00134
12,57.4663,1.72235,1.84685,1.6211,0.6557,0.49099,0.57144,0.30907,1.64615,1.75168,1.73778,0.001274,0.001274,0.001274
13,61.0769,1.71012,1.81454,1.60686,0.75007,0.57292,0.65032,0.34647,1.66015,1.62539,1.65983,0.001208,0.001208,0.001208
14,64.622,1.65852,1.69272,1.56482,0.7198,0.63281,0.70638,0.40759,1.56337,1.50133,1.6656,0.001142,0.001142,0.001142
15,68.1923,1.59809,1.61175,1.51469,0.80886,0.59635,0.70191,0.42622,1.41024,1.43015,1.50619,0.001076,0.001076,0.001076
16,71.7442,1.56009,1.52928,1.50327,0.80461,0.66927,0.73961,0.42678,1.52682,1.33955,1.6382,0.00101,0.00101,0.00101
17,75.2349,1.51563,1.48497,1.46972,0.79106,0.69016,0.78395,0.49988,1.34739,1.24326,1.4904,0.000944,0.000944,0.000944
18,78.692,1.46106,1.36797,1.42547,0.80706,0.71354,0.79949,0.50932,1.33518,1.2753,1.47914,0.000878,0.000878,0.000878
19,82.1206,1.45748,1.35296,1.41605,0.82844,0.70573,0.8044,0.51678,1.3464,1.14801,1.47589,0.000812,0.000812,0.000812
20,85.6141,1.40286,1.2965,1.3897,0.89376,0.72917,0.84205,0.55126,1.27668,1.07289,1.43043,0.000746,0.000746,0.000746
21,90.0152,1.30236,1.10797,1.4138,0.90979,0.73958,0.86056,0.57652,1.27728,1.06557,1.43118,0.00068,0.00068,0.00068
22,93.4714,1.23955,0.98792,1.38024,0.88724,0.8125,0.88896,0.59765,1.23562,0.94264,1.37247,0.000614,0.000614,0.000614
23,96.969,1.20877,0.94347,1.36264,0.942,0.83594,0.90919,0.62046,1.17753,0.87087,1.35316,0.000548,0.000548,0.000548
24,100.463,1.15341,0.90381,1.30126,0.93316,0.84896,0.9219,0.65671,1.10888,0.8183,1.30356,0.000482,0.000482,0.000482
25,103.955,1.09821,0.85949,1.28354,0.93844,0.84635,0.9233,0.64437,1.13458,0.81607,1.31383,0.000416,0.000416,0.000416
26,107.571,1.07992,0.82667,1.283,0.93993,0.86719,0.92821,0.67506,1.06533,0.75397,1.2725,0.00035,0.00035,0.00035
27,111.176,1.03696,0.7589,1.23815,0.94123,0.875,0.93483,0.68639,1.0454,0.73678,1.24747,0.000284,0.000284,0.000284
28,114.677,1.01714,0.7511,1.22171,0.97057,0.8776,0.94003,0.67817,1.07319,0.7248,1.2626,0.000218,0.000218,0.000218
29,118.232,0.98492,0.72946,1.2007,0.95645,0.89583,0.94591,0.7147,0.97593,0.69521,1.20019,0.000152,0.000152,0.000152
30,121.738,0.97679,0.71034,1.20125,0.94763,0.89844,0.94778,0.70763,0.99793,0.68025,1.20862,8.6e-05,8.6e-05,8.6e-05
