epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7144,2.6872,4.85304,2.30332,0.00128,0.3776,0.00199,0.00059,2.75856,5.25587,2.51044,0.000654545,0.000654545,0.000654545
2,22.4585,2.52842,3.79343,2.10375,0.23783,0.0599,0.03625,0.01238,2.99212,3.83284,2.66631,0.00127761,0.00127761,0.00127761
3,26.7604,2.46895,3.39168,2.057,0.1095,0.04579,0.01939,0.0054,2.82645,3.5075,2.72397,0.00185668,0.00185668,0.00185668
4,31.1516,2.46278,3.2289,2.05124,0.04989,0.03646,0.00899,0.00281,3.24578,5.35686,3.09179,0.001802,0.001802,0.001802
5,35.3505,2.38958,3.21469,2.02662,0.08152,0.05729,0.03078,0.01099,2.92535,3.43249,2.20714,0.001736,0.001736,0.001736
6,39.5456,2.24321,2.98792,1.94099,0.12589,0.07552,0.0413,0.00932,2.8221,3.52549,2.56748,0.00167,0.00167,0.00167
7,43.8697,2.32806,2.96763,2.01084,0.18827,0.13542,0.06717,0.02461,2.54582,3.62714,2.12262,0.001604,0.001604,0.001604
8,48.1904,2.19508,2.89742,1.91775,0.23201,0.16146,0.10595,0.03341,2.59694,3.59243,2.2597,0.001538,0.001538,0.001538
9,52.5203,2.16082,2.82565,1.90535,0.24261,0.1901,0.12455,0.03786,2.32269,3.14757,2.09869,0.001472,0.001472,0.001472
10,56.8476,2.11532,2.76297,1.88335,0.19533,0.21615,0.09643,0.03678,2.36263,3.6224,2.11821,0.001406,0.001406,0.001406
11,61.0647,2.06707,2.68231,1.8512,0.23607,0.15885,0.13829,0.05138,2.19596,3.07752,2.0201,0.00134,0.00134,0.00134
12,65.4138,2.04053,2.51667,1.82495,0.28878,0.2526,0.20206,0.08471,2.08743,2.73272,2.05235,0.001274,0.001274,0.001274
13,69.6668,2.00357,2.50832,1.80802,0.3381,0.26302,0.20824,0.08022,2.12729,2.64884,1.98511,0.001208,0.001208,0.001208
14,73.9408,1.94973,2.40518,1.76922,0.43132,0.2474,0.26399,0.11557,1.92146,2.60204,1.93865,0.001142,0.001142,0.001142
15,78.1807,1.88532,2.25057,1.71248,0.51174,0.3099,0.34792,0.164,2.04821,2.35993,1.96526,0.001076,0.001076,0.001076
16,82.4653,1.9005,2.22632,1.72518,0.47573,0.36979,0.34826,0.15411,1.90309,2.36983,1.93719,0.00101,0.00101,0.00101
17,86.8253,1.83403,2.18172,1.68169,0.51501,0.35677,0.37466,0.17312,1.92918,2.24439,1.9298,0.000944,0.000944,0.000944
18,91.2525,1.78122,1.99229,1.63172,0.64774,0.36198,0.45239,0.23284,1.80326,2.08321,1.81954,0.000878,0.000878,0.000878
19,95.7098,1.71958,1.92843,1.61276,0.60019,0.375,0.43872,0.223,1.76968,2.0917,1.80516,0.000812,0.000812,0.000812
20,100.102,1.67173,1.84389,1.58026,0.62415,0.45052,0.5332,0.30795,1.59277,1.91155,1.70812,0.000746,0.000746,0.000746
21,105.28,1.63596,1.75155,1.68736,0.69766,0.47473,0.58269,0.32765,1.61288,1.72234,1.71352,0.00068,0.00068,0.00068
22,109.599,1.52577,1.61184,1.62573,0.68199,0.54427,0.62465,0.36938,1.53473,1.60304,1.66689,0.000614,0.000614,0.000614
23,113.914,1.53369,1.52777,1.63211,0.83573,0.52995,0.68489,0.40634,1.52568,1.49243,1.59594,0.000548,0.000548,0.000548
24,118.215,1.43552,1.42462,1.55671,0.79185,0.64583,0.75161,0.4678,1.41777,1.31661,1.5721,0.000482,0.000482,0.000482
25,122.671,1.40849,1.34588,1.55324,0.76522,0.64583,0.74515,0.4711,1.40525,1.3339,1.52658,0.000416,0.000416,0.000416
26,127.432,1.35045,1.26118,1.51191,0.80808,0.66887,0.782,0.499,1.38713,1.23757,1.50246,0.00035,0.00035,0.00035
27,131.749,1.2864,1.18133,1.45049,0.90184,0.66995,0.82133,0.56642,1.22314,1.14559,1.41612,0.000284,0.000284,0.000284
28,136.052,1.26676,1.12647,1.4207,0.9207,0.69541,0.8488,0.55366,1.29952,1.06597,1.45345,0.000218,0.000218,0.000218
29,140.363,1.20862,1.09847,1.41244,0.877,0.74268,0.85987,0.57228,1.2878,1.03723,1.44438,0.000152,0.000152,0.000152
30,144.664,1.21918,1.05404,1.41441,0.9006,0.80223,0.88974,0.63019,1.1489,0.94816,1.36108,8.6e-05,8.6e-05,8.6e-05
