epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5445,1.82793,2.65322,1.47448,0.67765,0.60364,0.67406,0.31588,1.62557,2.29205,1.38053,0.000664414,0.000664414,0.000664414
2,50.8814,1.672,1.58858,1.32289,0.80652,0.69508,0.79129,0.38765,1.64477,1.40042,1.34264,0.00128716,0.00128716,0.00128716
3,68.2192,1.6403,1.44177,1.30186,0.79375,0.66849,0.76969,0.36096,1.68458,1.33121,1.34888,0.0018659,0.0018659,0.0018659
4,85.9181,1.6146,1.35872,1.28601,0.83519,0.73552,0.83318,0.42308,1.58772,1.16788,1.32661,0.001802,0.001802,0.001802
5,103.581,1.59843,1.30388,1.27551,0.81903,0.73861,0.82235,0.41372,1.62441,1.16809,1.32151,0.001736,0.001736,0.001736
6,121.243,1.56531,1.24092,1.25617,0.84059,0.76138,0.85146,0.43881,1.57602,1.07989,1.29994,0.00167,0.00167,0.00167
7,139.03,1.54245,1.19829,1.23306,0.84609,0.75701,0.85625,0.44066,1.55444,1.0841,1.27057,0.001604,0.001604,0.001604
8,156.535,1.54809,1.19557,1.24354,0.8689,0.77023,0.86609,0.46293,1.55512,1.01778,1.28201,0.001538,0.001538,0.001538
9,173.748,1.51977,1.15406,1.23003,0.87236,0.76831,0.8699,0.46769,1.52112,1.03922,1.26994,0.001472,0.001472,0.001472
10,191.249,1.51639,1.15096,1.22475,0.86085,0.79891,0.88139,0.47676,1.49558,0.98663,1.24994,0.001406,0.001406,0.001406
11,210.162,1.48682,1.12058,1.21377,0.86633,0.78386,0.87627,0.46652,1.53289,0.98433,1.26987,0.00134,0.00134,0.00134
12,228.232,1.47751,1.09699,1.20909,0.86151,0.80583,0.88873,0.48766,1.48604,0.95516,1.2376,0.001274,0.001274,0.001274
13,246.01,1.4671,1.07718,1.19779,0.86672,0.80073,0.88395,0.47882,1.49518,0.96222,1.24582,0.001208,0.001208,0.001208
14,264.232,1.48083,1.0863,1.21438,0.87092,0.8136,0.89228,0.48277,1.50674,0.92242,1.25669,0.001142,0.001142,0.001142
15,282.329,1.45622,1.05556,1.19456,0.87572,0.79672,0.88334,0.47765,1.50663,0.9499,1.24303,0.001076,0.001076,0.001076
16,300.267,1.46239,1.05068,1.20296,0.88265,0.80561,0.89282,0.49158,1.47852,0.92132,1.23423,0.00101,0.00101,0.00101
17,317.929,1.43756,1.02373,1.1849,0.87697,0.81541,0.89851,0.4944,1.47984,0.90846,1.23822,0.000944,0.000944,0.000944
18,335.778,1.44547,1.02857,1.17888,0.89979,0.81093,0.90075,0.5059,1.45988,0.90266,1.22193,0.000878,0.000878,0.000878
19,353.631,1.43648,0.99698,1.17884,0.88983,0.82974,0.90529,0.50118,1.46305,0.8933,1.22297,0.000812,0.000812,0.000812
20,371.412,1.42282,0.99033,1.17588,0.89643,0.81981,0.9067,0.50584,1.47668,0.87322,1.22616,0.000746,0.000746,0.000746
21,389.79,1.39682,0.87774,1.20292,0.88376,0.81785,0.90415,0.50176,1.47311,0.88627,1.22047,0.00068,0.00068,0.00068
22,408.595,1.38639,0.85398,1.19895,0.88705,0.8211,0.90536,0.50237,1.48511,0.85913,1.22582,0.000614,0.000614,0.000614
23,426.998,1.3605,0.83208,1.17543,0.87679,0.82436,0.90331,0.50951,1.46304,0.85117,1.21146,0.000548,0.000548,0.000548
24,445.598,1.36754,0.82396,1.17843,0.89119,0.83352,0.91122,0.5165,1.45829,0.83436,1.21743,0.000482,0.000482,0.000482
25,464.068,1.35947,0.81446,1.17873,0.90158,0.8255,0.91367,0.51683,1.45381,0.82852,1.20958,0.000416,0.000416,0.000416
26,482.469,1.34229,0.78759,1.16447,0.91027,0.82077,0.91516,0.51354,1.46238,0.82204,1.20937,0.00035,0.00035,0.00035
27,500.896,1.33345,0.77988,1.16422,0.90294,0.8303,0.91537,0.51976,1.44888,0.81199,1.20545,0.000284,0.000284,0.000284
28,519.348,1.31873,0.77554,1.15696,0.89996,0.83242,0.91319,0.5202,1.45227,0.8085,1.20636,0.000218,0.000218,0.000218
29,538.07,1.31318,0.77554,1.1472,0.89906,0.83713,0.91626,0.52039,1.44319,0.80691,1.20192,0.000152,0.000152,0.000152
30,556.667,1.30523,0.75517,1.15142,0.90338,0.83242,0.91516,0.52008,1.45517,0.80528,1.20858,8.6e-05,8.6e-05,8.6e-05
