epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5075,1.78721,2.53895,1.47245,0.73198,0.61056,0.68675,0.30019,1.72984,1.73117,1.4632,0.000664414,0.000664414,0.000664414
2,60.9036,1.67418,1.61542,1.36774,0.80402,0.63607,0.73516,0.33071,1.70342,1.56099,1.46803,0.00128716,0.00128716,0.00128716
3,84.238,1.64635,1.483,1.35549,0.7659,0.6765,0.76423,0.37035,1.6844,1.36247,1.41691,0.0018659,0.0018659,0.0018659
4,107.106,1.61601,1.40007,1.32892,0.81399,0.70346,0.79049,0.38987,1.69383,1.22063,1.38468,0.001802,0.001802,0.001802
5,130.193,1.5979,1.34059,1.32071,0.8261,0.66626,0.78225,0.37549,1.69117,1.26867,1.40598,0.001736,0.001736,0.001736
6,153.302,1.56942,1.27113,1.30763,0.81973,0.69326,0.79961,0.41107,1.59206,1.22507,1.35686,0.00167,0.00167,0.00167
7,176.526,1.54478,1.21391,1.28301,0.85751,0.74499,0.84998,0.44826,1.50584,1.12904,1.31079,0.001604,0.001604,0.001604
8,199.499,1.5498,1.21721,1.29978,0.85379,0.73989,0.84417,0.45452,1.53007,1.11769,1.3183,0.001538,0.001538,0.001538
9,222.209,1.51519,1.16814,1.272,0.83489,0.72459,0.82529,0.42436,1.60527,1.12323,1.32792,0.001472,0.001472,0.001472
10,245.161,1.50462,1.162,1.26722,0.86456,0.76758,0.86306,0.45457,1.54649,1.0576,1.31871,0.001406,0.001406,0.001406
11,268.239,1.48416,1.13185,1.25442,0.85088,0.78069,0.8717,0.4388,1.60282,1.00986,1.31353,0.00134,0.00134,0.00134
12,291.206,1.47787,1.10368,1.24904,0.89454,0.8102,0.90154,0.50036,1.45828,0.93344,1.26597,0.001274,0.001274,0.001274
13,314.143,1.46797,1.08369,1.23761,0.83818,0.76576,0.86224,0.47067,1.48776,1.03011,1.27797,0.001208,0.001208,0.001208
14,337.095,1.47728,1.08348,1.24709,0.85586,0.8025,0.88564,0.47125,1.55658,0.95131,1.29827,0.001142,0.001142,0.001142
15,360.01,1.45071,1.05363,1.23017,0.8895,0.80656,0.89612,0.48735,1.50717,0.92182,1.27791,0.001076,0.001076,0.001076
16,383.132,1.44849,1.04686,1.23414,0.87898,0.82769,0.90632,0.50485,1.43746,0.89571,1.24511,0.00101,0.00101,0.00101
17,407.333,1.43012,1.01643,1.21906,0.89042,0.81997,0.90286,0.49055,1.49566,0.91935,1.2718,0.000944,0.000944,0.000944
18,431.359,1.43942,1.02064,1.21295,0.90517,0.83802,0.92133,0.52223,1.44846,0.83882,1.23733,0.000878,0.000878,0.000878
19,454.283,1.42268,0.98303,1.21005,0.87545,0.84809,0.91555,0.51651,1.43544,0.86449,1.23944,0.000812,0.000812,0.000812
20,477.01,1.40344,0.97253,1.20736,0.89222,0.84135,0.92193,0.52135,1.43207,0.84028,1.23421,0.000746,0.000746,0.000746
21,500.467,1.39288,0.85535,1.22751,0.90571,0.8538,0.93062,0.53097,1.40975,0.82671,1.22146,0.00068,0.00068,0.00068
22,523.476,1.38127,0.83763,1.22777,0.90914,0.85295,0.93044,0.53057,1.42829,0.79687,1.23297,0.000614,0.000614,0.000614
23,546.367,1.36271,0.80552,1.20557,0.89202,0.83664,0.91486,0.52021,1.42584,0.88511,1.23391,0.000548,0.000548,0.000548
24,569.304,1.36542,0.79616,1.20741,0.91034,0.8544,0.93084,0.52932,1.42102,0.79676,1.23503,0.000482,0.000482,0.000482
25,591.994,1.35001,0.78029,1.20624,0.90924,0.86499,0.93253,0.54141,1.39833,0.78145,1.21476,0.000416,0.000416,0.000416
26,614.891,1.33781,0.76618,1.19076,0.91444,0.85137,0.93056,0.52148,1.4553,0.78833,1.23336,0.00035,0.00035,0.00035
27,638.155,1.3277,0.75119,1.19115,0.91753,0.8714,0.94338,0.55508,1.37369,0.74423,1.20674,0.000284,0.000284,0.000284
28,660.765,1.30571,0.72788,1.17592,0.91685,0.85938,0.93471,0.53954,1.41342,0.75639,1.2183,0.000218,0.000218,0.000218
29,683.76,1.30398,0.72645,1.17978,0.91395,0.86703,0.93908,0.55045,1.3933,0.74603,1.2121,0.000152,0.000152,0.000152
30,706.204,1.29463,0.7077,1.17549,0.91693,0.87395,0.94076,0.55574,1.3743,0.73422,1.20317,8.6e-05,8.6e-05,8.6e-05
