step,epoch,loss,learning_rate,grad_norm,elapsed_time_s,timestamp
1,0.0080,3.661000,0.00e+00,2.0187,4.48,2025-10-14 00:59:43
2,0.0161,3.531500,2.50e-05,1.2853,7.27,2025-10-14 00:59:46
3,0.0241,3.459400,5.00e-05,1.1487,10.24,2025-10-14 00:59:49
4,0.0321,3.556000,7.50e-05,1.2605,12.96,2025-10-14 00:59:51
5,0.0402,3.610400,1.00e-04,1.5687,15.74,2025-10-14 00:59:54
6,0.0482,3.469300,1.25e-04,1.5858,18.75,2025-10-14 00:59:57
7,0.0562,3.476500,1.50e-04,1.7028,21.42,2025-10-14 01:00:00
8,0.0643,3.303700,1.75e-04,1.5310,24.24,2025-10-14 01:00:03
9,0.0723,3.188400,2.00e-04,1.6373,27.19,2025-10-14 01:00:05
10,0.0803,2.969200,2.00e-04,1.6676,57.95,2025-10-14 01:00:36
11,0.0884,2.875000,2.00e-04,1.6879,60.65,2025-10-14 01:00:39
12,0.0964,2.852300,2.00e-04,1.7119,63.63,2025-10-14 01:00:42
13,0.1044,2.620300,2.00e-04,1.8331,66.36,2025-10-14 01:00:45
14,0.1124,2.455200,2.00e-04,1.8833,69.07,2025-10-14 01:00:47
15,0.1205,2.408200,2.00e-04,2.1763,71.99,2025-10-14 01:00:50
16,0.1285,2.299000,2.00e-04,2.1363,74.74,2025-10-14 01:00:53
17,0.1365,2.144600,1.99e-04,2.2712,77.36,2025-10-14 01:00:56
18,0.1446,2.102300,1.99e-04,2.2227,80.29,2025-10-14 01:00:59
19,0.1526,1.958700,1.99e-04,2.2808,83.02,2025-10-14 01:01:01
20,0.1606,1.867200,1.99e-04,2.0863,108.41,2025-10-14 01:01:27
21,0.1687,1.818100,1.99e-04,1.8972,111.41,2025-10-14 01:01:30
22,0.1767,1.675600,1.99e-04,1.9296,114.17,2025-10-14 01:01:32
23,0.1847,1.714600,1.98e-04,1.9769,116.88,2025-10-14 01:01:35
24,0.1928,1.641200,1.98e-04,1.8274,119.87,2025-10-14 01:01:38
25,0.2008,1.550000,1.98e-04,1.8512,122.59,2025-10-14 01:01:41
26,0.2088,1.541800,1.98e-04,1.8951,125.27,2025-10-14 01:01:44
27,0.2169,1.461900,1.97e-04,1.7330,128.26,2025-10-14 01:01:47
28,0.2249,1.323800,1.97e-04,1.8035,130.98,2025-10-14 01:01:49
29,0.2329,1.314800,1.97e-04,1.6535,133.71,2025-10-14 01:01:52
30,0.2410,1.403100,1.96e-04,1.7777,160.63,2025-10-14 01:02:19
31,0.2490,1.198300,1.96e-04,1.5709,163.32,2025-10-14 01:02:22
32,0.2570,1.347800,1.96e-04,1.7219,165.97,2025-10-14 01:02:24
33,0.2651,1.224100,1.95e-04,1.5298,168.87,2025-10-14 01:02:27
34,0.2731,1.081500,1.95e-04,1.4229,171.55,2025-10-14 01:02:30
35,0.2811,1.109800,1.94e-04,1.4637,174.19,2025-10-14 01:02:32
36,0.2892,1.132300,1.94e-04,1.3306,177.13,2025-10-14 01:02:35
37,0.2972,1.020700,1.93e-04,1.2060,179.84,2025-10-14 01:02:38
38,0.3052,1.052100,1.93e-04,1.3600,182.59,2025-10-14 01:02:41
39,0.3133,0.958600,1.92e-04,1.2998,185.28,2025-10-14 01:02:44
40,0.3213,1.093100,1.92e-04,1.4096,214.58,2025-10-14 01:03:13
41,0.3293,0.938300,1.91e-04,1.2826,217.24,2025-10-14 01:03:16
42,0.3373,0.976700,1.91e-04,1.2694,220.26,2025-10-14 01:03:19
43,0.3454,1.003200,1.90e-04,1.3005,223.00,2025-10-14 01:03:21
44,0.3534,0.988500,1.90e-04,1.2941,225.74,2025-10-14 01:03:24
45,0.3614,0.871100,1.89e-04,1.3918,228.60,2025-10-14 01:03:27
46,0.3695,0.926500,1.88e-04,1.2822,231.26,2025-10-14 01:03:30
47,0.3775,0.905100,1.88e-04,1.1995,233.96,2025-10-14 01:03:32
48,0.3855,0.888600,1.87e-04,1.2313,236.89,2025-10-14 01:03:35
49,0.3936,0.910300,1.87e-04,1.3313,239.55,2025-10-14 01:03:38
50,0.4016,0.892700,1.86e-04,1.3165,267.78,2025-10-14 01:04:06
51,0.4096,0.949800,1.85e-04,1.2710,270.76,2025-10-14 01:04:09
52,0.4177,0.856800,1.85e-04,1.1253,273.47,2025-10-14 01:04:12
