epoch,loss,avg_dice,avg_precision,avg_recall,avg_accuracy,Tumor Core (TC)_dice,Tumor Core (TC)_precision,Tumor Core (TC)_recall,Tumor Core (TC)_accuracy,Whole Tumor (WT)_dice,Whole Tumor (WT)_precision,Whole Tumor (WT)_recall,Whole Tumor (WT)_accuracy,Enhancing Tumor (ET)_dice,Enhancing Tumor (ET)_precision,Enhancing Tumor (ET)_recall,Enhancing Tumor (ET)_accuracy,epoch_time_sec
1,1.099845,0.164773,0.102856,0.829202,0.888447,0.288096,0.189409,0.830818,0.987318,0.069742,0.036881,0.962979,0.721019,0.136481,0.082276,0.693807,0.957004,162.75
2,1.077170,0.311320,0.205399,0.930088,0.976400,0.433992,0.300741,0.940822,0.993339,0.213096,0.124246,0.991223,0.941690,0.286872,0.191209,0.858220,0.994172,158.25
3,1.064302,0.405716,0.280015,0.921029,0.987401,0.483223,0.349106,0.939255,0.994894,0.388202,0.251724,0.987890,0.978207,0.345723,0.239215,0.835941,0.989102,156.05
4,1.052357,0.463150,0.329600,0.929069,0.992624,0.510701,0.372974,0.946230,0.995349,0.493040,0.343209,0.984361,0.986080,0.385709,0.272617,0.856616,0.996441,158.44
5,1.040332,0.497666,0.361187,0.931063,0.994317,0.505638,0.368451,0.950078,0.995339,0.580340,0.427306,0.978843,0.990817,0.407020,0.287803,0.864267,0.996797,158.86
6,1.028193,0.521263,0.387351,0.933143,0.992914,0.522353,0.384509,0.947275,0.995778,0.629358,0.481681,0.975086,0.992834,0.412078,0.295861,0.877069,0.990131,151.76
7,1.015836,0.535747,0.401660,0.935587,0.993246,0.523282,0.385216,0.957243,0.995745,0.668003,0.522840,0.973832,0.993863,0.415955,0.296925,0.875686,0.990131,152.74
8,1.002956,0.565323,0.429043,0.937737,0.993852,0.551394,0.406826,0.958920,0.996145,0.706632,0.566607,0.974309,0.994975,0.437944,0.313695,0.879981,0.990437,149.12
9,0.992280,0.573726,0.442850,0.941541,0.993949,0.555586,0.417164,0.958681,0.996093,0.725949,0.594898,0.970494,0.995322,0.439642,0.316487,0.895449,0.990432,151.81
10,0.980453,0.586635,0.453634,0.947718,0.996320,0.572689,0.431733,0.957435,0.996358,0.728319,0.599838,0.970264,0.995347,0.458899,0.329332,0.915455,0.997254,153.79
11,0.968735,0.602303,0.471299,0.952450,0.996734,0.585382,0.445330,0.965548,0.996584,0.758682,0.634001,0.971144,0.996131,0.462846,0.334565,0.920657,0.997487,151.85
12,0.956418,0.618926,0.489085,0.950215,0.994731,0.604046,0.465529,0.959042,0.996940,0.772960,0.651918,0.972748,0.996403,0.479773,0.349808,0.918855,0.990849,150.86
13,0.944422,0.628340,0.500978,0.949394,0.994854,0.619319,0.482797,0.956636,0.997099,0.784058,0.667082,0.969076,0.996641,0.481642,0.353055,0.922470,0.990823,151.83
14,0.931500,0.630654,0.504540,0.951653,0.994852,0.623196,0.491558,0.955686,0.997142,0.784597,0.668190,0.967712,0.996621,0.484170,0.353872,0.931562,0.990793,151.98
15,0.916992,0.634294,0.508059,0.953324,0.997298,0.627969,0.497852,0.957045,0.997334,0.787835,0.673851,0.970915,0.996827,0.487079,0.352476,0.932012,0.997733,150.20
16,0.902303,0.647608,0.523826,0.951377,0.995089,0.653622,0.526296,0.953773,0.997577,0.789146,0.677671,0.970751,0.996754,0.500058,0.367512,0.929608,0.990936,153.61
17,0.885141,0.657320,0.536790,0.950134,0.995276,0.675973,0.553620,0.951223,0.997794,0.801468,0.692634,0.967832,0.997048,0.494518,0.364116,0.931346,0.990986,150.42
18,0.868303,0.674042,0.551769,0.955520,0.997666,0.696099,0.572781,0.954402,0.997905,0.811356,0.705697,0.969947,0.997271,0.514672,0.376831,0.942210,0.997821,152.35
19,0.850433,0.666905,0.551902,0.942515,0.990843,0.691691,0.579376,0.941085,0.997983,0.804023,0.700556,0.965113,0.997174,0.504999,0.375775,0.921348,0.977371,153.10
20,0.826919,0.683737,0.572145,0.948045,0.997874,0.723605,0.618373,0.938107,0.998354,0.809912,0.709524,0.965337,0.997275,0.517695,0.388536,0.940691,0.997993,151.35
21,0.804260,0.701178,0.591312,0.947649,0.998084,0.741798,0.641350,0.938295,0.998488,0.828265,0.735650,0.962089,0.997651,0.533469,0.396936,0.942564,0.998112,148.84
22,0.781621,0.698838,0.594130,0.940312,0.995770,0.739655,0.648321,0.930986,0.998478,0.827031,0.736509,0.958764,0.997559,0.529828,0.397562,0.931185,0.991271,151.51
23,0.756837,0.722732,0.622304,0.939909,0.998237,0.771623,0.687517,0.921603,0.998669,0.846237,0.763542,0.961161,0.997893,0.550336,0.415854,0.936962,0.998149,151.15
24,0.732748,0.725169,0.627607,0.939790,0.998312,0.778758,0.701361,0.917761,0.998777,0.846905,0.769400,0.956820,0.997929,0.549846,0.412059,0.944788,0.998230,153.97
25,0.707241,0.732064,0.639076,0.934980,0.996109,0.784261,0.711198,0.917816,0.998794,0.859107,0.786558,0.955377,0.998114,0.552823,0.419473,0.931749,0.991420,155.32
26,0.684624,0.732176,0.644723,0.922107,0.991523,0.795147,0.732285,0.906839,0.998849,0.850169,0.782899,0.944740,0.997970,0.551212,0.418987,0.914743,0.977751,152.78
27,0.664886,0.722702,0.638785,0.926574,0.996069,0.779321,0.720610,0.899057,0.998808,0.850537,0.788833,0.941012,0.998032,0.538247,0.406912,0.939651,0.991367,152.13
28,0.635557,0.745583,0.665810,0.930368,0.998501,0.812310,0.763301,0.901324,0.998961,0.866028,0.807409,0.944257,0.998269,0.558410,0.426720,0.945523,0.998273,152.52
29,0.609564,0.755785,0.677988,0.932076,0.994047,0.814343,0.767804,0.909397,0.999022,0.880357,0.829934,0.945692,0.998458,0.572656,0.436225,0.941137,0.984660,152.26
30,0.590857,0.761320,0.689351,0.923249,0.996423,0.820401,0.782632,0.899022,0.999101,0.880337,0.835452,0.939743,0.998474,0.583220,0.449971,0.930982,0.991693,153.71
31,0.566557,0.772986,0.700979,0.929656,0.996439,0.842095,0.802794,0.907854,0.999131,0.886024,0.846248,0.938345,0.998519,0.590837,0.453895,0.942768,0.991665,152.86
